NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA,Date,Rate
Williamsburg,Brooklyn,2314,"22, 122",Yes,2024-04-17,3832627,3352,67.0,Interior,M1-2 ,,R6A,,MX-8,VIH,2.7,8910,430,2024-04-17,5.25
Tremont,The Bronx,3043,"72,77,46,80",Yes,2024-04-16,10975000,24834,332.42,Corner,C4-4D,,,,,VIH,5.4,134104,82,2024-04-16,5.25
East Flushing,Queens,5374,56,No,2024-04-16,1650000,2446,21.5,Interior,R6A,,,,,,3.0,7338,225,2024-04-16,5.25
Greenwood Heights,Brooklyn,658,13,No,2024-04-16,2650000,10017,100.0,Interior,M1-1D,,,,,,1.0,10017,265,2024-04-16,5.25
Chelsea,Manhattan,692,53,No,2024-04-15,87400000,20555,352.1,Corner,M1-5 ,C6-3,,,WCH,VIH,5.0,171800,509,2024-04-15,5.25
North Riverdale,The Bronx,5841,"1968, 1978, 1988",Yes,2024-04-11,12650000,32675,410.51,Corner,R6 ,,R3-1,,,,,87088,145,2024-04-11,5.25
Arverne,Queens,16013,1,No,2024-04-08,7750000,32939,202.18,Interior,R5D ,C2-3,,,C3,,,74849,104,2024-04-08,5.25
Crown Heights,Brooklyn,1225,"1, 24, 26, 27, 25",Yes,2024-04-04,4050000,5977,105.0,Through,R6A ,C2-4,,,,,3.0,17931,226,2024-04-04,5.25
Long Island City,Queens,382,24,No,2024-04-03,6612500,6840,76.0,Interior,M1-3 ,,R7X,,LIC,VIH,5.0,42354,156,2024-04-03,5.25
Borough Park,Brooklyn,5696,"12, 14",Yes,2024-04-03,5010000,8014,80.0,Interior,R5,,,,,,1.25,10018,500,2024-04-03,5.25
Mott Haven,The Bronx,2600,96,No,2024-04-02,6000000,7270,61.25,Corner,R7X,,,,,MIH,6.0,43620,62,2024-04-02,5.25
Crown Heights,Brooklyn,1178,7,No,2024-04-02,2700000,5051,50.0,Interior,R7A,,,,,,4.0,19929,301,2024-04-02,5.25
Boerum Hill,Brooklyn,388,"19, 42, 51",Yes,2024-04-01,4300000,50692,506.92,Through,R7A ,C2-4,R7D,,,MIH,,278875,142,2024-04-01,5.25
Morrisania,The Bronx,2369,69,No,2024-04-01,39715000,8088,97.0,Interior,M1-1 ,,R7-2,,MX-7,,3.44,27821,155,2024-04-01,5.25
Wakefield,The Bronx,5084,63,No,2024-03-29,14000000,24850,294.9,Through,R7D ,C2-4,,,,MIH,5.6,139160,75,2024-03-29,5.25
Kingsbridge,The Bronx,5703,206,No,2024-03-29,2440000,9379,75.17,Interior,R6,,,,,,2.2,20397,120,2024-03-29,5.25
Long Island City,Queens,474,"61, 1, 5",Yes,2024-03-29,10500000,22490,431.84,Corner,M1-3,,,,,,5.0,112450,124,2024-03-29,5.25
Concourse Village,The Bronx,2421,26,No,2024-03-28,2000000,4834,41.67,Interior,R8A,,,,,VIH,5.4,26104,77,2024-03-28,5.25
Hunters Point,Queens,79,29,No,2024-03-28,21687750,2500,25.0,Interior,C5-3 ,,,,LIC,,15.0,37500,125,2024-03-28,5.25
Financial District,Manhattan,52,16,No,2024-03-28,4678358,6199,109.38,Through,C5-5 ,,,,LM,,15.0,92864,234,2024-03-28,5.25
Melrose,The Bronx,"2380, 2379","35, 45",Yes,2024-03-27,7422118,12492,224.0,Interior ,R7-2 ,C1-4,R8,,,,7.2,74125,58,2024-03-27,5.25
East New York,Brooklyn,4434,10,No,2024-03-27,4315000,68457,525.0,Corner,R7-2 ,C2-4,,,,,3.44,235492,59,2024-03-27,5.25
Mount Hope,The Bronx,2853,"12,15",Yes,2024-03-27,13935618,10852,126.69,Interior,C4-4D ,,,,J,MIH,7.2,78070,95,2024-03-27,5.25
Crown Heights,Brooklyn,1175,32,No,2024-03-27,1175000,2620,20.0,Interior,R6B,,,,,,2.0,5230,225,2024-03-27,5.25
Corona,Queens,1943,"12, 15",Yes,2024-03-26,1500000,7132,71.32,Interior,R5,,,,,,1.25,8915,222,2024-03-26,5.25
Flatbush,Brooklyn,5138,54,No,2024-03-26,1980000,2496,25.0,Interior,R6 ,C2-3,,,,,3.0,6664,225,2024-03-26,5.25
Mount Eden,The Bronx,2791,11,No,2024-03-21,6700000,6650,70.0,Interior,R8,,,,,,6.02,40033,72,2024-03-21,5.25
Hell's Kitchen,Manhattan,1074,63,No,2024-03-21,2900000,27019,293.17,Through,R8 ,R8A,C2-5,,CL,VIH,,134586,247,2024-03-21,5.25
Williamsburg,Brooklyn,2250,46,No,2024-03-21,33200000,5000,50.0,Interior,R7A,,,,,VIH,3.45,17250,388,2024-03-21,5.25
Jamaica,Queens,9834,"1, 3, 5, 10, 6, 8",Yes,2024-03-20,7500000,22497,442.87,Corner,R7A ,,C2-4,,DJ,VIH,3.45,77615,97,2024-03-20,5.25
Chinatown,Manhattan,297,"28, 29",Yes,2024-03-20,5325000,2989,42.42,Interior,C6-2,,,,,,6.02,17994,296,2024-03-20,5.25
Garment District,Manhattan,784,17,No,2024-03-18,15000000,4509,45.66,Interior,C6-4M,,,,,,10.0,45090,333,2024-03-18,5.25
Middle Village,Queens,3070,3,No,2024-03-15,1850000,8700,58.0,Interior,R5 ,,C2-4,,,,1.25,10875,170,2024-03-15,5.25
Borough Park,Brooklyn,5368,7,No,2024-03-14,2065500,2741,153.56,Corner,R6,,,,,,3.0,8223,251,2024-03-14,5.25
Fordham,The Bronx,3171,11,No,2024-03-11,1944000,6098,50.0,Interior,R8,,,,,,6.02,36710,53,2024-03-11,5.25
